iter	Passed	Remaining
398	1997	3009
399	1999	2999
400	2002	2991
401	2003	2980
402	2005	2970
403	2006	2960
404	2012	2955
405	2013	2946
406	2016	2937
407	2018	2928
408	2019	2918
409	2022	2910
410	2027	2905
411	2030	2897
412	2032	2888
413	2033	2878
414	2035	2869
415	2037	2860
416	2041	2854
417	2046	2849
418	2047	2839
419	2049	2830
420	2052	2822
421	2060	2821
422	2061	2812
423	2063	2803
424	2066	2795
425	2068	2786
426	2071	2780
427	2075	2773
428	2077	2764
429	2082	2760
430	2084	2752
431	2092	2750
432	2093	2741
433	2095	2732
434	2096	2723
435	2098	2714
436	2108	2715
437	2110	2708
438	2113	2700
439	2114	2691
440	2122	2690
441	2123	2681
442	2125	2672
443	2127	2663
444	2129	2656
445	2135	2652
446	2143	2651
447	2145	2643
448	2147	2635
449	2149	2627
450	2151	2619
451	2153	2610
452	2155	2602
453	2156	2593
454	2164	2592
455	2167	2585
456	2172	2580
457	2184	2585
458	2186	2577
459	2188	2568
460	2194	2565
461	2196	2557
462	2198	2549
463	2199	2541
464	2202	2533
465	2204	2525
466	2213	2526
467	2214	2517
468	2216	2509
469	2217	2501
470	2219	2492
471	2226	2490
472	2227	2482
473	2229	2473
474	2230	2465
475	2232	2457
476	2239	2455
477	2240	2446
478	2242	2438
479	2244	2431
480	2245	2422
481	2247	2415
482	2255	2413
483	2257	2406
484	2259	2399
485	2261	2391
486	2263	2384
487	2272	2383
488	2273	2376
489	2275	2368
490	2276	2360
491	2278	2352
492	2284	2349
493	2286	2341
494	2288	2334
495	2290	2327
496	2291	2319
497	2293	2311
498	2294	2303
499	2302	2302
500	2305	2296
501	2307	2288
502	2309	2281
503	2319	2282
504	2320	2275
505	2322	2267
506	2325	2260
507	2332	2258
508	2333	2251
509	2338	2246
510	2340	2239
511	2347	2237
512	2349	2230
513	2350	2222
514	2353	2215
515	2354	2208
516	2356	2201
517	2365	2200
518	2366	2193
519	2369	2187
520	2371	2180
521	2382	2182
522	2384	2174
523	2386	2167
524	2388	2160
525	2399	2162
526	2401	2155
527	2403	2148
528	2404	2141
529	2409	2137
530	2411	2129
531	2413	2122
532	2414	2115
533	2419	2111
534	2427	2109
535	2429	2102
536	2430	2095
537	2432	2088
538	2434	2082
539	2436	2075
540	2438	2068
541	2440	2061
542	2441	2055
543	2443	2048
544	2444	2041
545	2446	2034
546	2451	2030
547	2453	2023
548	2455	2017
549	2457	2010
550	2459	2003
551	2460	1997
552	2462	1990
553	2466	1985
554	2467	1978
555	2469	1971
556	2470	1964
557	2472	1958
558	2473	1951
559	2475	1944
560	2481	1942
561	2520	1964
562	2522	1957
563	2524	1951
564	2554	1966
565	2563	1965
566	2566	1959
567	2568	1953
568	2570	1946
569	2571	1940
570	2575	1934
571	2576	1927
572	2580	1923
573	2582	1916
574	2584	1910
575	2595	1910
576	2597	1904
577	2600	1898
578	2613	1900
579	2615	1894
580	2625	1893
581	2627	1886
582	2629	1881
583	2636	1877
584	2642	1874
585	2651	1873
586	2665	1875
587	2668	1869
588	2677	1868
589	2684	1865
590	2686	1859
591	2689	1853
592	2693	1848
593	2695	1842
594	2705	1841
595	2709	1836
596	2711	1830
597	2721	1829
598	2722	1822
599	2737	1824
600	2738	1818
601	2744	1814
602	2753	1813
603	2757	1808
604	2759	1801
605	2768	1800
606	2773	1795
607	2775	1789
608	2784	1787
609	2786	1781
610	2788	1775
611	2791	1770
612	2798	1766
613	2816	1770
614	2819	1765
615	2821	1758
616	2828	1755
617	2838	1754
618	2840	1748
619	2842	1742
620	2849	1739
621	2851	1732
622	2854	1727
623	2857	1721
624	2859	1715
625	2862	1710
626	2865	1704
627	2867	1698
628	2869	1692
629	2874	1688
630	2880	1684
631	2882	1678
632	2884	1672
633	2889	1668
634	2891	1661
635	2892	1655
636	2896	1650
637	2897	1644
638	2899	1638
639	2908	1636
640	2910	1630
641	2924	1631
642	2926	1624
643	2927	1618
644	2931	1613
645	2934	1607
646	2935	1601
647	2937	1595
648	2938	1589
649	2940	1583
650	2941	1576
651	2951	1575
652	2955	1570
653	2980	1577
654	2985	1572
655	2988	1566
656	2996	1564
657	2998	1558
658	2999	1552
659	3001	1546
660	3003	1540
661	3005	1534
662	3011	1530
663	3013	1525
664	3016	1519
665	3017	1513
666	3019	1507
667	3054	1518
668	3060	1514
669	3062	1508
670	3065	1503
671	3067	1497
672	3068	1490
673	3070	1484
674	3071	1478
675	3073	1473
676	3075	1467
677	3076	1461
678	3078	1455
679	3079	1449
680	3086	1445
681	3088	1439
682	3089	1433
683	3092	1428
684	3094	1423
685	3096	1417
686	3125	1424
687	3126	1418
688	3128	1412
689	3133	1407
690	3135	1401
691	3137	1396
692	3138	1390
693	3140	1384
694	3142	1378
695	3143	1373
696	3150	1369
697	3152	1363
698	3154	1358
699	3158	1353
700	3159	1347
701	3166	1344
702	3168	1338
703	3170	1332
704	3171	1327
705	3173	1321
706	3174	1315
707	3180	1311
708	3182	1306
709	3183	1300
710	3185	1294
711	3186	1289
712	3193	1285
713	3196	1280
714	3200	1275
715	3201	1270
716	3203	1264
717	3227	1267
718	3229	1262
719	3231	1256
720	3232	1250
721	3234	1245
722	3235	1239
723	3237	1234
724	3241	1229
725	3242	1223
726	3243	1218
727	3244	1212
728	3245	1206
729	3247	1201
730	3248	1195
731	3249	1189
732	3250	1184
733	3252	1178
734	3255	1173
735	3257	1168
736	3258	1162
737	3259	1157
738	3261	1151
739	3262	1146
740	3263	1140
741	3265	1135
742	3266	1129
743	3269	1125
744	3271	1119
745	3273	1114
746	3275	1109
747	3278	1104
748	3280	1099
749	3282	1094
750	3287	1090
751	3289	1084
752	3290	1079
753	3292	1074
754	3294	1069
755	3296	1063
756	3299	1059
757	3301	1054
758	3303	1048
759	3304	1043
760	3307	1038
761	3309	1033
762	3310	1028
763	3312	1023
764	3314	1018
765	3316	1013
766	3318	1008
767	3320	1002
768	3321	997
769	3323	992
770	3327	988
771	3328	983
772	3330	977
773	3332	972
774	3334	967
775	3336	962
776	3338	958
777	3342	953
778	3345	948
779	3346	943
780	3348	939
781	3350	934
782	3352	929
783	3357	924
784	3359	920
785	3361	915
786	3363	910
787	3364	905
788	3366	900
789	3368	895
790	3372	891
791	3374	886
792	3375	881
793	3377	876
794	3378	871
795	3380	866
796	3382	861
797	3384	856
798	3386	851
799	3388	847
800	3390	842
801	3392	837
802	3394	832
803	3396	827
804	3397	823
805	3403	819
806	3405	814
807	3407	809
808	3409	804
809	3411	800
810	3412	795
811	3416	790
812	3417	786
813	3418	781
814	3420	776
815	3421	771
816	3423	766
817	3424	761
818	3426	757
819	3427	752
820	3429	747
821	3431	742
822	3432	738
823	3433	733
824	3435	728
825	3436	723
826	3438	719
827	3439	714
828	3443	710
829	3445	705
830	3446	700
831	3448	696
832	3449	691
833	3450	686
834	3452	682
835	3453	677
836	3455	672
837	3459	668
838	3460	664
839	3462	659
840	3463	654
841	3464	650
842	3466	645
843	3467	640
844	3468	636
845	3469	631
846	3470	626
847	3472	622
848	3474	617
849	3475	613
850	3476	608
851	3477	604
852	3478	599
853	3479	594
854	3480	590
855	3481	585
856	3482	581
857	3483	576
858	3484	571
859	3485	567
860	3489	563
861	3490	558
862	3491	554
863	3492	549
864	3493	545
865	3494	540
866	3494	536
867	3496	531
868	3497	527
869	3498	522
870	3500	518
871	3502	514
872	3503	509
873	3505	505
874	3506	500
875	3508	496
876	3509	492
877	3511	487
878	3512	483
879	3514	479
880	3516	474
881	3517	470
882	3519	466
883	3520	461
884	3521	457
885	3523	453
886	3525	449
887	3527	444
888	3531	440
889	3533	436
890	3535	432
891	3536	428
892	3538	423
893	3539	419
894	3540	415
895	3542	411
896	3548	407
897	3550	403
898	3552	399
899	3553	394
900	3554	390
901	3557	386
902	3558	382
903	3562	378
904	3564	374
905	3570	370
906	3571	366
907	3573	362
908	3574	357
909	3583	354
910	3584	350
911	3586	346
912	3587	341
913	3588	337
914	3590	333
915	3592	329
916	3595	325
917	3596	321
918	3597	317
919	3599	312
920	3600	308
921	3605	305
922	3608	301
923	3611	297
924	3612	292
925	3614	288
926	3615	284
927	3623	281
928	3625	277
929	3628	273
930	3630	269
931	3636	265
932	3638	261
933	3641	257
934	3643	253
935	3645	249
936	3647	245
937	3652	241
938	3654	237
939	3655	233
940	3660	229
941	3668	225
942	3669	221
943	3671	217
944	3675	213
945	3676	209
946	3683	206
947	3687	202
948	3689	198
949	3690	194
950	3692	190
951	3693	186
952	3698	182
953	3700	178
954	3703	174
955	3705	170
956	3706	166
957	3708	162
958	3714	158
959	3716	154
960	3719	150
961	3720	146
962	3722	143
963	3723	139
964	3729	135
965	3731	131
966	3734	127
967	3736	123
968	3737	119
969	3739	115
970	3745	111
971	3748	107
972	3750	104
973	3752	100
974	3753	96
975	3760	92
976	3761	88
977	3762	84
978	3763	80
979	3764	76
980	3765	72
981	3767	69
982	3768	65
983	3772	61
984	3774	57
985	3776	53
986	3777	49
987	3778	45
988	3779	42
989	3781	38
990	3782	34
991	3783	30
992	3784	26
993	3791	22
994	3792	19
995	3793	15
996	3794	11
997	3795	7
998	3796	3
999	3797	0
